,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,Latitude,Longitude,geometry,BuildingAge
564,757,2015,nonresidential,large office,7,DOWNTOWN,1.0,7.0,131143,87160,43983,office,120290.0,retail store,10853.0,No information,0.0,94.0,5288304.0,0.0,5288523.0,618364.0,89.435,47.6108292,-122.3448644,POINT (-122.3448644 47.6108292),36
567,760,2015,nonresidential,large office,7,DOWNTOWN,1.0,10.0,132998,0,132998,office,84731.0,retail store,53526.0,No information,0.0,87.0,5207349.0,1663608.0,3543888.0,0.0,143.46,47.61045662,-122.3404384,POINT (-122.3404384 47.61045662),107
568,761,2015,nonresidential,retail store,7,DOWNTOWN,1.0,3.0,83118,0,83118,retail store,45000.0,No information,0.0,No information,0.0,51.0,2643948.0,0.0,2444122.0,199928.0,27.740000000000002,47.60939705,-122.3370035,POINT (-122.3370035 47.60939705),75
569,762,2015,nonresidential,retail store,7,DOWNTOWN,1.0,3.0,77555,0,77555,retail store,73563.0,No information,0.0,No information,0.0,39.0,8063959.0,0.0,7735694.0,328587.0,62.89,47.60931778,-122.33786011,POINT (-122.33786011 47.60931778),91
570,763,2015,nonresidential,small- and mid-sized office,7,DOWNTOWN,1.0,6.0,51218,0,51218,office,44913.0,restaurant,7044.0,No information,0.0,65.0,2625300.0,0.0,2625409.0,0.0,19.21,47.60757597,-122.3409389,POINT (-122.3409389 47.60757597),106
571,764,2015,nonresidential,large office,7,DOWNTOWN,1.0,29.0,489182,0,489182,office,371450.0,parking,65451.0,other,9295.0,50.0,32381836.0,0.0,32383179.0,0.0,326.07,47.60831575,-122.33544853,POINT (-122.33544853 47.60831575),45
573,766,2015,nonresidential,large office,7,DOWNTOWN,1.0,13.0,189175,0,189175,office,151740.0,other,12645.0,No information,0.0,13.0,19018762.0,0.0,19019550.0,0.0,132.65,47.60749343,-122.3352206,POINT (-122.3352206 47.60749343),94
574,767,2015,nonresidential,large office,7,DOWNTOWN,1.0,13.0,293803,74481,219322,office,145491.0,parking,70603.0,No information,0.0,25.0,17044842.0,0.0,17045551.0,0.0,118.93,47.60565608,-122.33424818,POINT (-122.33424818 47.60565608),17
575,768,2015,nonresidential,large office,7,DOWNTOWN,1.0,7.0,122356,0,122356,office,95942.0,retail store,15523.0,data center,182.0,69.0,6618215.0,0.0,6531777.0,86709.0,45.97,47.60586544,-122.3393185,POINT (-122.3393185 47.60586544),105
576,769,2015,nonresidential,small- and mid-sized office,7,DOWNTOWN,1.0,3.0,52298,0,52298,office,50250.0,No information,0.0,No information,0.0,88.0,1990749.0,0.0,1990832.0,0.0,13.8,47.60378793,-122.33362064,POINT (-122.33362064 47.60378793),94
577,771,2015,nonresidential,large office,7,DOWNTOWN,1.0,17.0,116640,0,116640,office,82053.0,financial office,6561.0,food service,6333.0,52.0,6797528.0,1648136.0,5149604.0,0.0,166.085,47.60302353,-122.33364868,POINT (-122.33364868 47.60302353),104
578,772,2015,nonresidential,large office,3,DOWNTOWN,1.0,42.0,1249055,201121,1047934,office,983697.0,parking,296815.0,medical office,12941.0,93.0,41818868.0,0.0,39875857.0,0.0,271.38,47.60600047,-122.32993096,POINT (-122.32993096 47.60600047),34
579,773_2015,2015,nonresidential,small- and mid-sized office,7,DOWNTOWN,1.0,4.0,63150,0,63150,No information,0.0,No information,0.0,No information,0.0,67.0,2982178.0,0.0,2659391.0,322897.0,35.69,47.60363571,-122.33229898,POINT (-122.33229898 47.60363571),91
580,774,2015,nonresidential,large office,7,DOWNTOWN,1.0,22.0,227556,98556,129000,office,129000.0,parking,98556.0,No information,0.0,74.0,8201974.0,0.0,8202314.0,0.0,58.195,47.60401687,-122.33197962,POINT (-122.33197962 47.60401687),45
581,775,2015,nonresidential,large office,7,DOWNTOWN,1.0,76.0,1952220,319400,1632820,office,1680937.0,parking,319368.0,No information,0.0,84.0,94560088.0,0.0,90754881.0,3808965.0,858.76,47.60466039,-122.33028619,POINT (-122.33028619 47.60466039),30
582,776,2015,nonresidential,medical office,3,EAST,1.0,5.0,188339,99314,89025,medical office,81873.0,parking,67000.0,No information,0.0,17.0,8631444.0,0.0,7937320.0,694452.0,90.81,47.60634747,-122.3218006,POINT (-122.3218006 47.60634747),27
